"id","disposition","priority","target_journey","dependency_or_risk","rationale"
"EVE-08","reject","—","—","Business model expansion","Outside the confirmed knowledge-hub role."
"EVE-09","include","P1","Guide and knowledge hub","Content taxonomy and bilingual editorial metadata","Directly implements the confirmed guide/knowledge-hub reference role."
"EVE-10","include","P2","Guide and downloads hub","Approved accessible download files required for publication","Connect existing downloads to relevant guide categories; do not fabricate documents."
"EVE-11","include","P2","Guide and knowledge hub","FAQ only; newsletter remains excluded","Use the FAQ pattern as part of the hub and reject the bundled newsletter feature."
"IW-01","reject","—","—","Address data and market-data hierarchy","Outside the confirmed heatmap-only role."
"IW-02","reject","—","—","Market data","Outside the confirmed heatmap-only role."
"IW-03","reject","—","—","Market data","Outside the confirmed heatmap-only role."
"IW-04","reject","—","—","Market data methodology","Outside the confirmed heatmap-only role."
"IW-05","reject","—","—","Market data methodology","Outside the confirmed heatmap-only role."
"IW-06","reject","—","—","Historical market data","Outside the confirmed heatmap-only role."
"IW-07","reject","—","—","Market data and district hierarchy","Outside the confirmed heatmap-only role."
"IW-08","defer","Future","Property-price heatmap","Market-data provider and interactive map functionality","Only the heatmap is selected; the bundled calculator is rejected."
"KK-01","reject","—","—","Production inventory","Königskinder is a secondary content reference, not a search feature source."
"KK-02","reject","—","—","Possible unconfirmed service scope","Secondary corroboration only; it does not create a standalone backlog item."
"KK-03","reject","—","—","None","Secondary support for seller content already justified by ImmoPartner."
"KK-04","reject","—","—","Landlord scope is unconfirmed","Secondary comparison only; no new landlord service is inferred."
"KK-05","reject","—","—","Editorial capacity","Secondary comparison only; the approved knowledge hub is justified by Evernest."
"KK-06","reject","—","—","Market-data provider","Not selected as a feature reference."
"KK-07","reject","—","—","Unconfirmed specialist services","Secondary comparison cannot introduce new business services."
"KK-08","reject","—","—","Approved reference inventory","Secondary comparison only; reference data is not approved."
"KK-09","reject","—","—","Live statistics, reviews, and newsletter providers","Static local-content ideas may corroborate included SEO work but create no separate feature."
"EN-01","reject","—","—","Production inventory","Outside the confirmed customer-video-only role."
"EN-02","reject","—","—","Approved sold-property inventory","Outside the confirmed customer-video-only role."
"EN-03","defer","Future","Homepage customer stories","Written testimonial/video rights plus web-ready local media","Selected pattern is retained but source-archive candidates are not publication-ready."
"EN-04","reject","—","—","Verified marketing proof","Outside the confirmed customer-video-only role."
"EN-05","reject","—","—","Production property data","Outside the confirmed customer-video-only role."
"EN-06","reject","—","—","Approved property-video media","Professional property videos are not customer-story videos."
"EN-07","reject","—","—","Valuation, reviews, and market content","Outside the confirmed customer-video-only role."
"EN-08","reject","—","—","External video provider","The consent facade is not part of the selected reference reason; local media is preferred."
