source_path,public_path,match_basis,confidence,notes
Referenz Objekte/Forchheim/ETW Spieläcker Str/_DSC2369.JPG,public/images/references/forchheim-eigentumswohnung.webp,perceptual-fingerprint,verified-high,"Cropped and resized WebP derivative."
Referenz Objekte/Forchheim/Townhouse Katzensteinstraße/_DSC2243.JPG,public/images/references/forchheim-reihenhaus.webp,perceptual-fingerprint,verified-high,"Cropped and resized WebP derivative."
Referenz Objekte/Fürth/ETW Kellermannstraße/_DSC0204.JPG,public/images/references/fuerth-altbauwohnung.webp,perceptual-fingerprint,verified-high,"Cropped and resized WebP derivative."
Referenz Objekte/Fürth/ETW Ludwigstraße/_DSC4063.jpg,public/images/references/fuerth-renovierte-wohnung.webp,perceptual-fingerprint,verified-high,"Cropped and resized WebP derivative."
Referenz Objekte/Fürth/Medizinisches Versorgungszentrum Fürth/_DSC0489.JPG,public/images/references/fuerth-versorgungszentrum.webp,perceptual-fingerprint,verified-high,"Cropped and resized WebP derivative."
Referenz Objekte/Fürth/MFH Ottostraße/_DSC2845.JPG,public/images/references/fuerth-mehrfamilienhaus.webp,perceptual-fingerprint,verified-high,"Cropped and resized WebP derivative."
Referenz Objekte/Heroldsbach/ZFH Am Vogelherd/_DSC3863.jpg,public/images/references/heroldsbach-mehrfamilienhaus.webp,perceptual-fingerprint,verified-high,"Cropped and resized WebP derivative."
Referenz Objekte/Langenzenn/ETW Lenzenstraße/11111111.JPG,public/images/references/langenzenn-terrassenwohnung.webp,perceptual-fingerprint,verified-high,"Cropped and resized WebP derivative."
Referenz Objekte/Nürnberg/EFH Seidelbastweg/DJI_0028-2.jpg,public/images/references/nuernberg-einfamilienhaus.webp,visual-inspection,verified-high,"Cropped and resized WebP derivative of the aerial photograph."
Referenz Objekte/Nürnberg/ETW Stabiusstraße/_DSC6043.jpg,public/images/references/nuernberg-eigentumswohnung.webp,perceptual-fingerprint,verified-high,"Cropped and resized WebP derivative."
Referenz Objekte/Nürnberg/REH Siebenbürger Str/_DSC2275.JPG,public/images/references/nuernberg-reihenendhaus.webp,perceptual-fingerprint,verified-high,"Cropped and resized WebP derivative."
Referenz Objekte/Oberasbach/EFH Bucher Straße/22222222.JPG,public/images/references/oberasbach-einfamilienhaus.webp,perceptual-fingerprint-and-visual-inspection,verified-high,"Cropped and resized WebP derivative."
Referenz Objekte/Zirndorf/Vogelherdstraße/_DSC7024.jpg,public/images/references/zirndorf-gartenwohnung.webp,perceptual-fingerprint,verified-high,"Cropped and resized WebP derivative."
Verkäufer Feedback Videos/Markus Burkhard/Titelbild.jpg,public/images/testimonials/markus-burkhard.webp,identity-and-visual-inspection,verified-high,"Cropped and resized testimonial-poster derivative."
Verkäufer Feedback Videos/Sandra Börschlein/Titelbild.jpg,public/images/testimonials/sandra-boerschlein.webp,identity-and-visual-inspection,verified-high,"Cropped and resized testimonial-poster derivative."
Verkäufer Feedback Videos/Viktor Emter/Titelbild Viktor Emter.png,public/images/testimonials/viktor-emter.webp,identity-and-visual-inspection,verified-high,"Cropped and resized testimonial-poster derivative."
Verkäufer Feedback Videos/Viktor Emter/Interview Viktor Emter.mp4,public/videos/testimonials/viktor-emter.mp4,duration-content-and-identity,verified-high,"Web-transcoded derivative; duration matches the 361.7-second source."
Referenz Objekte/Bewertungen - Referenzobjekt Kunden .docx · embedded-14.png,public/images/reviews/google-viktor-emter.png,exact-sha256,verified-high,"Original Google review screenshot for the confirmed Viktor Emter customer voice."
Referenz Objekte/Bewertungen - Referenzobjekt Kunden .docx · embedded-20.png,public/images/reviews/google-markus-burkhardt.png,exact-sha256,verified-high,"Original Google review screenshot for the confirmed Markus Burkhardt customer voice."
Referenz Objekte/Bewertungen - Referenzobjekt Kunden .docx · embedded-03.png,public/images/reviews/google-customer-review.png,exact-sha256,verified-high,"Remaining original Google review screenshot attached to the Sandra Börschlein customer voice."
assets/media-library/references/adelsdorf/rmh-reuthseering/property-photo-01.jpg,public/images/references/adelsdorf-reuthseering/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/media-library/references/adelsdorf/rmh-reuthseering/property-photo-02.jpg,public/images/references/adelsdorf-reuthseering/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/media-library/references/adelsdorf/rmh-reuthseering/property-photo-03.jpg,public/images/references/adelsdorf-reuthseering/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Deining/ETW Bürgermeister Keckl Str/10.png,public/images/references/deining-neubauwohnung/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Deining/ETW Bürgermeister Keckl Str/11.jpg,public/images/references/deining-neubauwohnung/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Deining/ETW Bürgermeister Keckl Str/8.png,public/images/references/deining-neubauwohnung/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Erlangen/ETW Luise Kisselbach Str/_DSC3092.JPG,public/images/references/erlangen-eigentumswohnung/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Erlangen/ETW Luise Kisselbach Str/_DSC3112.JPG,public/images/references/erlangen-eigentumswohnung/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Erlangen/ETW Luise Kisselbach Str/_DSC3124.JPG,public/images/references/erlangen-eigentumswohnung/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Forchheim/ETW Spieläcker Str/_DSC2361.JPG,public/images/references/forchheim-eigentumswohnung/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Forchheim/ETW Spieläcker Str/_DSC2369.JPG,public/images/references/forchheim-eigentumswohnung/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Forchheim/ETW Spieläcker Str/_DSC2378.JPG,public/images/references/forchheim-eigentumswohnung/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Forchheim/Townhouse Katzensteinstraße/_DSC2205.JPG,public/images/references/forchheim-reihenhaus/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Forchheim/Townhouse Katzensteinstraße/_DSC2243.JPG,public/images/references/forchheim-reihenhaus/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Forchheim/Townhouse Katzensteinstraße/_DSC2244.JPG,public/images/references/forchheim-reihenhaus/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Fürth/ETW Kellermannstraße/_DSC0193.JPG,public/images/references/fuerth-altbauwohnung/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Fürth/ETW Kellermannstraße/_DSC0204.JPG,public/images/references/fuerth-altbauwohnung/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Fürth/ETW Kellermannstraße/_DSC0209.JPG,public/images/references/fuerth-altbauwohnung/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/media-library/references/fuerth/etw-ludwigstrasse/property-photo-01.jpg,public/images/references/fuerth-renovierte-wohnung/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/media-library/references/fuerth/etw-ludwigstrasse/property-photo-02.jpg,public/images/references/fuerth-renovierte-wohnung/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/media-library/references/fuerth/etw-ludwigstrasse/property-photo-03.jpg,public/images/references/fuerth-renovierte-wohnung/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Fürth/Medizinisches Versorgungszentrum Fürth/_DSC0487.JPG,public/images/references/fuerth-versorgungszentrum/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Fürth/Medizinisches Versorgungszentrum Fürth/_DSC0489.JPG,public/images/references/fuerth-versorgungszentrum/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Fürth/Medizinisches Versorgungszentrum Fürth/IMG_4728.JPG,public/images/references/fuerth-versorgungszentrum/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Fürth/MFH Ottostraße/_DSC2828.JPG,public/images/references/fuerth-mehrfamilienhaus/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Fürth/MFH Ottostraße/_DSC2833.JPG,public/images/references/fuerth-mehrfamilienhaus/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Fürth/MFH Ottostraße/_DSC2845.JPG,public/images/references/fuerth-mehrfamilienhaus/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Hagenbüchach/An den Hausäckern/_DSC7081.jpg,public/images/references/hagenbuechach-hausaeckern/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Hagenbüchach/An den Hausäckern/_DSC7141.jpg,public/images/references/hagenbuechach-hausaeckern/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Hagenbüchach/An den Hausäckern/DJI_0084.jpg,public/images/references/hagenbuechach-hausaeckern/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Heroldsbach/ZFH Am Vogelherd/_DSC3863.jpg,public/images/references/heroldsbach-mehrfamilienhaus/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Heroldsbach/ZFH Am Vogelherd/_DSC3864.jpg,public/images/references/heroldsbach-mehrfamilienhaus/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Heroldsbach/ZFH Am Vogelherd/_DSC3877.jpg,public/images/references/heroldsbach-mehrfamilienhaus/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Herzogenaurach/Schützengraben/_DSC2571.JPG,public/images/references/herzogenaurach-schuetzengraben/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Herzogenaurach/Schützengraben/666666666666666.JPG,public/images/references/herzogenaurach-schuetzengraben/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Herzogenaurach/Schützengraben/88888888888888.JPG,public/images/references/herzogenaurach-schuetzengraben/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Langenzenn/ETW Lenzenstraße/1111111.JPG,public/images/references/langenzenn-terrassenwohnung/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Langenzenn/ETW Lenzenstraße/11111111.JPG,public/images/references/langenzenn-terrassenwohnung/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Langenzenn/ETW Lenzenstraße/9999999.JPG,public/images/references/langenzenn-terrassenwohnung/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/DHH Willy Wunder Str/_DSC8986.jpg,public/images/references/nuernberg-willy-wunder/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/DHH Willy Wunder Str/_DSC8987.jpg,public/images/references/nuernberg-willy-wunder/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/DHH Willy Wunder Str/_DSC9035-HDR.jpg,public/images/references/nuernberg-willy-wunder/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/EFH Seidelbastweg/_DSC3904.jpg,public/images/references/nuernberg-einfamilienhaus/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/EFH Seidelbastweg/_DSC3946.jpg,public/images/references/nuernberg-einfamilienhaus/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/EFH Seidelbastweg/DJI_0028-2.jpg,public/images/references/nuernberg-einfamilienhaus/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/ETW Neutrograben/_DSC1460.JPG,public/images/references/nuernberg-neutrograben/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/ETW Neutrograben/_DSC1466.JPG,public/images/references/nuernberg-neutrograben/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/ETW Neutrograben/_DSC1492.JPG,public/images/references/nuernberg-neutrograben/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/ETW Stabiusstraße/_DSC6008.jpg,public/images/references/nuernberg-eigentumswohnung/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/ETW Stabiusstraße/_DSC6043.jpg,public/images/references/nuernberg-eigentumswohnung/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/ETW Stabiusstraße/_DSC6056.jpg,public/images/references/nuernberg-eigentumswohnung/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/ETW Züricher Str 52/_DSC4489.jpg,public/images/references/nuernberg-zuericher-52/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/ETW Züricher Str 52/_DSC4500.jpg,public/images/references/nuernberg-zuericher-52/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/ETW Züricher Str 52/_DSC4509.jpg,public/images/references/nuernberg-zuericher-52/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/ETW Züricher Str. 40/_DSC5185.jpg,public/images/references/nuernberg-zuericher-40/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/ETW Züricher Str. 40/_DSC5188.jpg,public/images/references/nuernberg-zuericher-40/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/ETW Züricher Str. 40/_DSC5197.jpg,public/images/references/nuernberg-zuericher-40/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/REH Siebenbürger Str/_DSC2275.JPG,public/images/references/nuernberg-reihenendhaus/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/REH Siebenbürger Str/_DSC2298.JPG,public/images/references/nuernberg-reihenendhaus/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/REH Siebenbürger Str/_DSC2299.JPG,public/images/references/nuernberg-reihenendhaus/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/RMH Haderastraße/_DSC9314.jpg,public/images/references/nuernberg-haderastrasse/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/RMH Haderastraße/_DSC9345-HDR.jpg,public/images/references/nuernberg-haderastrasse/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/RMH Haderastraße/_DSC9382.jpg,public/images/references/nuernberg-haderastrasse/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/RMH Wörnitzstraße/_DSC6085.jpg,public/images/references/nuernberg-woernitzstrasse/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/RMH Wörnitzstraße/_DSC6135.jpg,public/images/references/nuernberg-woernitzstrasse/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Nürnberg/RMH Wörnitzstraße/_DSC6154.jpg,public/images/references/nuernberg-woernitzstrasse/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Oberasbach/EFH Bucher Straße/22222222.JPG,public/images/references/oberasbach-einfamilienhaus/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Oberasbach/EFH Bucher Straße/555555,555.JPG,public/images/references/oberasbach-einfamilienhaus/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Oberasbach/EFH Bucher Straße/5555555.JPG,public/images/references/oberasbach-einfamilienhaus/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Schwabach/ETW Abenberger Straße/_DSC7207.jpg,public/images/references/schwabach-abenberger/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Schwabach/ETW Abenberger Straße/_DSC7221.jpg,public/images/references/schwabach-abenberger/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Schwabach/ETW Abenberger Straße/_DSC7243.jpg,public/images/references/schwabach-abenberger/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Carl Benz Straße/_DSC6962.jpg,public/images/references/zirndorf-carl-benz/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Carl Benz Straße/DJI_0071.jpg,public/images/references/zirndorf-carl-benz/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Carl Benz Straße/DJI_0075.jpg,public/images/references/zirndorf-carl-benz/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Gutenbergstraße/_DSC4622.jpg,public/images/references/zirndorf-gutenbergstrasse/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Gutenbergstraße/_DSC4624.jpg,public/images/references/zirndorf-gutenbergstrasse/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Gutenbergstraße/_DSC4645.jpg,public/images/references/zirndorf-gutenbergstrasse/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Homburger Str/_DSC1834.JPG,public/images/references/zirndorf-homburger/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Homburger Str/_DSC1853.JPG,public/images/references/zirndorf-homburger/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Homburger Str/_DSC1854.JPG,public/images/references/zirndorf-homburger/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Marienbader Str/_DSC2622.JPG,public/images/references/zirndorf-marienbader/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Marienbader Str/_DSC2643.JPG,public/images/references/zirndorf-marienbader/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Marienbader Str/4444.JPG,public/images/references/zirndorf-marienbader/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Vogelherdstraße/_DSC7024.jpg,public/images/references/zirndorf-gartenwohnung/cover.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Vogelherdstraße/_DSC7051.jpg,public/images/references/zirndorf-gartenwohnung/gallery-02.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Referenz Objekte/Zirndorf/Vogelherdstraße/DJI_0083.jpg,public/images/references/zirndorf-gartenwohnung/gallery-03.webp,source-folder-reconciliation,verified-high,"Three-image WebP derivative; street address withheld from public copy."
assets/Objektvideo-Präsentation/Wörnitzstr.mov,public/videos/property-tours/nuernberg-woernitzstrasse.mp4,direct-transcode,verified-high,"H.264 web transcode of the 2160x3840 HEVC original (1080x1920, CRF 26, AAC 128k, faststart); music bed kept, no speech. Burnt-in title card names the district and a house number is briefly legible around 0:01 — finer than the reference record locationPrecision city-area."
assets/Objektvideo-Präsentation/Wörnitzstr.mov,public/videos/property-tours/nuernberg-woernitzstrasse-poster.webp,direct-transcode,verified-high,"WebP still from 0:09 of the transcode (1080x1920); interior frame chosen so the poster carries no address detail."
